Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
125,6,125-6,f1,4.4000001,125-13,125-14,125-14,1.79915428,52.2775345,
125,7,125-7,Leaf,,,,,-0.0157829169,6.93674564,
125,8,125-8,Leaf,,,,,-0.0273180548,7.46757269,
125,9,125-9,f1,3.48333335,125-15,125-16,125-16,6.99551868,28.7711678,
125,10,125-10,f1,5.0999999,125-17,125-18,125-18,2.62258625,74.0506134,
125,11,125-11,f5,0.160000026,125-19,125-20,125-20,3.49101162,1463.48669,
125,12,125-12,f2,0.0299999993,125-21,125-22,125-22,1.39806652,360.009125,
125,13,125-13,f1,1.25,125-23,125-24,125-24,0.339470863,30.6627693,
125,14,125-14,f1,5.86666679,125-25,125-26,125-26,3.3904376,21.6147633,
125,15,125-15,Leaf,,,,,-0.0117185507,23.3756161,
125,16,125-16,Leaf,,,,,0.0235891342,5.39555168,
125,17,125-17,Leaf,,,,,-0.0238801949,12.5415325,
125,18,125-18,Leaf,,,,,-0.00890510995,61.509079,
125,19,125-19,Leaf,,,,,0.000599931751,1066.76489,
125,20,125-20,Leaf,,,,,-0.00269287522,396.721771,
125,21,125-21,Leaf,,,,,0.00275982707,342.56604,
125,22,125-22,Leaf,,,,,0.0112727955,17.4430637,
125,23,125-23,Leaf,,,,,0.00973735191,7.31253099,
125,24,125-24,Leaf,,,,,0.0196417924,23.3502388,
125,25,125-25,Leaf,,,,,-0.00787926279,8.73602486,
125,26,125-26,Leaf,,,,,0.0153446244,12.8787384,
126,0,126-0,f0,-0.439913124,126-1,126-2,126-2,15.3098679,2008.05273,
126,1,126-1,f0,-1.75068605,126-3,126-4,126-4,5.61923885,409.297363,
126,2,126-2,f0,1.4757911,126-5,126-6,126-6,12.4151592,1598.75537,
126,3,126-3,Leaf,,,,,-0.0232267752,14.602807,
126,4,126-4,f1,3.45000005,126-7,126-8,126-8,2.74979973,394.69458,
126,5,126-5,f0,0.495850354,126-9,126-10,126-10,3.78171372,1545.36743,
126,6,126-6,f1,8.66666698,126-11,126-12,126-12,1.82366657,53.387867,
126,7,126-7,f0,-0.553384721,126-13,126-14,126-14,2.32426262,53.4833527,
126,8,126-8,f1,3.6500001,126-15,126-16,126-16,2.83851194,341.211212,
126,9,126-9,f2,0.0299999993,126-17,126-18,126-18,2.43428326,1176.6615,
126,10,126-10,f3,0.0399999991,126-19,126-20,126-20,4.16310215,368.705902,
126,11,126-11,f1,5.86666679,126-21,126-22,126-22,1.66671848,48.2864685,
126,12,126-12,Leaf,,,,,-0.00170385267,5.10139608,
126,13,126-13,Leaf,,,,,-0.0133870365,46.9988327,
126,14,126-14,Leaf,,,,,0.0050989748,6.48452091,
126,15,126-15,Leaf,,,,,0.015220345,5.9631691,
126,16,126-16,Leaf,,,,,-0.00418566866,335.248047,
126,17,126-17,Leaf,,,,,-3.51669114e-05,1114.5199,
126,18,126-18,Leaf,,,,,-0.00609021727,62.1415939,
126,19,126-19,Leaf,,,,,0.0024114328,352.682617,
126,20,126-20,Leaf,,,,,0.0176196229,16.0232658,
126,21,126-21,Leaf,,,,,0.0136656547,40.02808,
126,22,126-22,Leaf,,,,,0.029005453,8.25838852,
127,0,127-0,f0,-0.91536504,127-1,127-2,127-2,12.2338142,2013.4801,
127,1,127-1,f0,-1.75068605,127-3,127-4,127-4,2.92577648,128.033844,
127,2,127-2,f0,0.674489737,127-5,127-6,127-6,7.59102011,1885.44629,
127,3,127-3,Leaf,,,,,-0.021274332,14.5639515,
127,4,127-4,f3,0.0399999991,127-7,127-8,127-8,0.930654526,113.469887,
127,5,127-5,f3,0.0299999993,127-9,127-10,127-10,1.3569566,1592.93689,
127,6,127-6,f0,1.88079405,127-11,127-12,127-12,3.54601097,292.509399,
127,7,127-7,f2,0.0,127-13,127-14,127-14,1.84136772,108.177788,
127,8,127-8,Leaf,,,,,0.00441749068,5.29210424,
127,9,127-9,f2,0.0199999996,127-15,127-16,127-16,3.671345,1424.57153,
127,10,127-10,f2,-0.0799999982,127-17,127-18,127-18,1.49714601,168.365295,
127,11,127-11,f3,0.0599999987,127-19,127-20,127-20,1.65781498,275.291321,
127,12,127-12,f0,2.3263483,127-21,127-22,127-22,0.150117397,17.2180843,
127,13,127-13,Leaf,,,,,-0.0148740662,24.8129044,
127,14,127-14,Leaf,,,,,-0.00555200689,83.3648834,
127,15,127-15,Leaf,,,,,-0.000327148358,1331.66003,
127,16,127-16,Leaf,,,,,0.00580993248,92.9115448,
127,17,127-17,Leaf,,,,,0.00805984251,9.8621645,
127,18,127-18,Leaf,,,,,-0.0034832235,158.503128,
127,19,127-19,Leaf,,,,,0.0037971416,270.273224,
127,20,127-20,Leaf,,,,,0.0198081862,5.0180788,
127,21,127-21,Leaf,,,,,0.012165715,8.59353733,
127,22,127-22,Leaf,,,,,0.0217148848,8.624547,
