tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
4,+26c,26,27,3,Machine Learning (Logistic Regression),0.32753950376353574,0.5817869078091279,0.5869830070307857,0.5902376731058543,0.6183012499076348,0.32753950376353574,0.45611837604739575,0.5093299482838624,0.424790518356605,0.6180337211383655
4,+27c,27,28,3,Momentum-Adjusted Gaussian,0.6627082740006655,0.6683835892224336,0.6688676008131337,0.6692171081801832,0.6627082740006655,0.7808185710413956,0.7418235149904474,0.7218279210093043,0.7214238047336895,0.668759177149768
4,+28c,28,29,2,Momentum-Adjusted Gaussian,0.5171150197736006,0.552667421282922,0.5595572149087693,0.5638759166498065,0.5171150197736006,0.9170564910481822,0.6832016594235499,0.6330895835576054,0.7035671794159273,0.5651882576939499
4,+29c,29,30,3,XGBoost,0.5499643083597433,0.9178569290478662,0.8687618024841964,0.8440166528117814,0.9928666492817726,0.576771334906516,0.5499643083597433,0.632970719217744,0.5549329977864813,0.867208229032549
4,+30c,30,31,1,Momentum-Adjusted Gaussian,0.4004776028492047,0.4307829527722363,0.4430481644182509,0.4507477723922751,0.4004776028492047,0.7709312283544152,0.48804012640973016,0.43974874922549867,0.48466920961803683,0.49065678636803334
4,+31c,31,32,4,PySR (Symbolic Regression),0.6781338455332458,0.7104043209102298,0.7039048872523125,0.7003545516506395,0.7064990141876688,0.8579610125082949,0.7239919465935711,0.7301139171716772,0.7635964312425035,0.6781338455332458
4,+32c,32,33,2,Momentum-Adjusted Gaussian,0.5761647670773445,0.6149872834079181,0.617702372202552,0.6194781001120846,0.5761647670773445,1.0749036626893294,0.858736090610618,0.8791897417605161,0.902848217517983,0.6029410331018908
4,+33c,33,34,1,Momentum-Adjusted Gaussian,0.19845092473128456,0.22314353641304868,0.24742842961236328,0.26253157604535,0.19845092473128456,0.46435816741554303,0.4651668650466864,0.42551099512577895,0.4317419578848469,0.29943657602949303
4,+34c,34,35,2,Machine Learning (Logistic Regression),0.34807825166020906,0.38913471922096843,0.4047447464552161,0.414444325928859,0.3952697651863636,0.34807825166020906,0.41115048332542403,0.38361142528315506,0.39155979489661574,0.4444944966736748
4,+35c,35,36,1,XGBoost,0.9387467617474814,1.8971201438316134,1.750136517433669,1.6707554089583239,2.0402210084867485,1.1698585835915525,0.9387467617474814,1.1154747553352409,1.0559905675389376,1.5911838856275389
4,+39c,39,40,2,Machine Learning (Logistic Regression),0.258787856521001,0.3220832841749985,0.3414949138273696,0.3535185055582958,0.32821480338874565,0.258787856521001,0.536597622884973,0.5668279057578917,0.4200543347729083,0.3701927013395868
4,+40c,40,41,2,Momentum-Adjusted Gaussian,0.26730305135753907,0.29430347450759303,0.3150134158503106,0.3278734232566334,0.26730305135753907,0.6586443697016124,0.5293978840871505,0.5140543165327579,0.4834712421182502,0.33300313836173195
