Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
9,30,9-30,Leaf,,,,,0.0473418906,90890.7188,
10,0,10-0,f0,0.0501535833,10-1,10-2,10-2,916440.5,1686880.62,
10,1,10-1,f0,-0.643345416,10-3,10-4,10-4,192593.344,880556.125,
10,2,10-2,f0,0.80642122,10-5,10-6,10-6,137350.438,806324.5,
10,3,10-3,f0,-1.12639117,10-7,10-8,10-8,18933.8125,379563.594,
10,4,10-4,f0,-0.253347099,10-9,10-10,10-10,19600.543,500992.531,
10,5,10-5,f0,0.385320455,10-11,10-12,10-12,17461.1797,483181.938,
10,6,10-6,f0,1.34075499,10-13,10-14,10-14,12547.625,323142.562,
10,7,10-7,f0,-1.47579098,10-15,10-16,10-16,2170.75,202440.234,
10,8,10-8,f0,-0.84162122,10-17,10-18,10-18,2302.40625,177123.359,
10,9,10-9,f0,-0.439913154,10-19,10-20,10-20,2638.92969,235078.359,
10,10,10-10,f0,-0.125661343,10-21,10-22,10-22,2012.41211,265914.156,
10,11,10-11,f0,0.201893479,10-23,10-24,10-24,2713.32227,270111.125,
10,12,10-12,f0,0.582841516,10-25,10-26,10-26,2136.58594,213070.812,
10,13,10-13,f0,1.08031929,10-27,10-28,10-28,1621.25,160840.469,
10,14,10-14,f0,1.88079357,10-29,10-30,10-30,1237.28125,162302.094,
10,15,10-15,Leaf,,,,,-0.0461762138,118259.008,
10,16,10-16,Leaf,,,,,-0.0398702398,84181.2188,
10,17,10-17,Leaf,,,,,-0.0333695225,93192.4062,
10,18,10-18,Leaf,,,,,-0.0265179481,83930.9531,
10,19,10-19,Leaf,,,,,-0.0187368859,107249.359,
10,20,10-20,Leaf,,,,,-0.0123549998,127829.008,
10,21,10-21,Leaf,,,,,-0.00664850976,103386.812,
10,22,10-22,Leaf,,,,,-0.00129480765,162527.344,
10,23,10-23,Leaf,,,,,0.00486429408,133384.703,
10,24,10-24,Leaf,,,,,0.0108783534,136726.406,
10,25,10-25,Leaf,,,,,0.0166499801,116136.844,
10,26,10-26,Leaf,,,,,0.0226833653,96933.9766,
10,27,10-27,Leaf,,,,,0.0297177471,92704.0,
10,28,10-28,Leaf,,,,,0.0358152911,68136.4609,
10,29,10-29,Leaf,,,,,0.041743394,88925.1875,
10,30,10-30,Leaf,,,,,0.0470108427,73376.8984,
11,0,11-0,f0,-0.075269863,11-1,11-2,11-2,864990.25,1680574.0,
11,1,11-1,f0,-0.706302583,11-3,11-4,11-4,136581.625,759929.5,
11,2,11-2,f0,0.706302583,11-5,11-6,11-6,175031.031,920644.5,
11,3,11-3,f0,-1.2815516,11-7,11-8,11-8,14113.0,348231.312,
11,4,11-4,f0,-0.358458787,11-9,11-10,11-10,12692.7891,411698.219,
11,5,11-5,f0,0.227544978,11-11,11-12,11-12,23545.1172,561033.625,
11,6,11-6,f0,1.22652817,11-13,11-14,11-14,17725.5312,359610.875,
11,7,11-7,f0,-1.64485359,11-15,11-16,11-16,866.71875,159224.609,
11,8,11-8,f0,-0.994457901,11-17,11-18,11-18,2645.25,189006.688,
11,9,11-9,f0,-0.553384721,11-19,11-20,11-20,2025.64844,188894.578,
11,10,11-10,f0,-0.227544978,11-21,11-22,11-22,1797.52148,222803.641,
11,11,11-11,f0,0.075269863,11-23,11-24,11-24,2533.92676,271474.469,
11,12,11-12,f0,0.412463129,11-25,11-26,11-26,3856.09375,289559.156,
11,13,11-13,f0,0.9153651,11-27,11-28,11-28,1943.85938,170197.25,
11,14,11-14,f0,1.55477357,11-29,11-30,11-30,2097.03125,189413.625,
11,15,11-15,Leaf,,,,,-0.0461242683,86718.9688,
11,16,11-16,Leaf,,,,,-0.0416742526,72505.6484,
11,17,11-17,Leaf,,,,,-0.0360691138,81091.3438,
