tte_bucket,probability_bucket,probability_bucket_start_cents,probability_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
10,65-70c,65,70,20,Student-T df=3,0.6444730670839136,0.6448743420996366,0.644511261801675,0.6444730670839136,0.648120008925761,0.6466782902821046,0.6597440650182343,0.6570478349022625,0.6571472595787083,0.6460197841911295
10,70-75c,70,75,26,Machine Learning (Logistic Regression),0.572286002690001,0.5764895390850394,0.5779683748549931,0.5792506692487266,0.5867349162797095,0.572286002690001,0.5862360341886056,0.5931038423085723,0.5881603502849846,0.5863223855853441
10,75-80c,75,80,18,Machine Learning (Logistic Regression),0.46687872291087135,0.47331232507429505,0.4789895796506988,0.48307948937793704,0.4742242335678049,0.46687872291087135,0.47971543924778637,0.47681097389416544,0.47813697822592693,0.5001913969234705
10,80-85c,80,85,13,PySR (Symbolic Regression),0.8103155171383956,0.8986329427363077,0.8613193675992302,0.8414455834910803,0.8957116710441084,0.9387562602954256,0.9160076889569125,0.9089245783213933,0.8759672631775393,0.8103155171383956
10,85-90c,85,90,8,XGBoost,0.37123340919096043,0.38779583778652105,0.38677479146957255,0.3891199516363506,0.38786042064105297,0.389201845255299,0.37123340919096043,0.39037980003127387,0.38918335133175747,0.394053214697915
10,90-95c,90,95,9,LightGBM,0.3346318560974534,0.3526883807618017,0.3502846485713414,0.35275788756782583,0.33541273591048776,0.3570620912594118,0.3465319025354209,0.3346318560974534,0.3346749734711365,0.3500646485661508
10,95-100c,95,100,3,PySR (Symbolic Regression),0.016053615612385896,0.03743933722089085,0.0684766642204721,0.08878848619928077,0.030494641653987475,0.04040300239368974,0.05392459989818626,0.05105984804920146,0.059970614159485854,0.016053615612385896
9,0-5c,0,5,3,PySR (Symbolic Regression),0.01005033585350145,0.03736773132376089,0.06892776436659072,0.08942555682818754,0.05133022969715206,0.03675715284869843,0.038102051195931824,0.04336521075510591,0.04184063004753057,0.01005033585350145
9,5-10c,5,10,9,PySR (Symbolic Regression),0.30903670534703365,0.33215985976828377,0.33025798423414743,0.3331991496107744,0.30996711109702807,0.34432635371354103,0.33403581125886056,0.31807577687281463,0.33981671327293966,0.30903670534703365
9,10-15c,10,15,11,Momentum-Adjusted Gaussian,0.2767631820011141,0.28880951041803926,0.30213906161226595,0.3116137339842466,0.2767631820011141,0.2910002684566058,0.28788822912542483,0.29749358287706024,0.2826346944552459,0.30303381406694974
9,15-20c,15,20,14,XGBoost,0.40884814379810935,0.41440792288520123,0.4191774274801823,0.4234528822496659,0.42137800181215546,0.4094708405854645,0.40884814379810935,0.4174181198979669,0.41471002000040136,0.4321878166322594
9,20-25c,20,25,18,CatBoost,0.5201134565995704,0.5240780983192955,0.5253653159130328,0.5269255047838783,0.52038918318453,0.5261133991802741,0.5324638559007596,0.531921446530652,0.5201134565995704,0.5331925111513793
9,25-30c,25,30,16,PySR (Symbolic Regression),0.667376611307531,0.6869186630410182,0.6805988092822354,0.6772121863021788,0.6839361001249684,0.7001768263561342,0.6789126103964847,0.6787874327708177,0.6731951210525982,0.667376611307531
9,30-35c,30,35,20,XGBoost,0.6296797184344941,0.6453766736726699,0.6444931803746939,0.6441734551962527,0.6473720533816076,0.6505264678850511,0.6296797184344941,0.6486011260361424,0.6408465137937627,0.6445876415668084
9,35-40c,35,40,9,Machine Learning (Logistic Regression),0.6524287291314335,0.6534050602509939,0.6537799567447381,0.6541095714760417,0.6577976365551129,0.6524287291314335,0.6561586499612776,0.6751098807296594,0.6565488187430945,0.65823143606226
9,40-45c,40,45,10,LightGBM,0.6339604098210869,0.6426639550064437,0.6445401372801491,0.6457430530806901,0.6428941045847556,0.6390890195023421,0.6384674435694238,0.6339604098210869,0.646032778904293,0.6541016470239852
9,45-50c,45,50,17,Machine Learning (Logistic Regression),0.6511893508527515,0.654466015422859,0.6562452017868194,0.6573598048071633,0.6545740888391528,0.6511893508527515,0.6637320859009117,0.6688898462442745,0.6537061664269952,0.6650031462353888
9,50-55c,50,55,14,LightGBM,0.6783863347365646,0.6959811218545264,0.6957803891662683,0.6956585923785317,0.710792209468579,0.6884927020687737,0.6948223031520605,0.6783863347365646,0.6847630964164253,0.6950086805402533
9,55-60c,55,60,21,Momentum-Adjusted Gaussian,0.6475591239447743,0.6531585448201798,0.654704674057224,0.6556910617963978,0.6475591239447743,0.6500451120525164,0.6545339738277589,0.6657967049581027,0.6489063711074798,0.6621702083272443
9,60-65c,60,65,15,PySR (Symbolic Regression),0.7438965029710777,0.77123498999042,0.7655571350980394,0.7621252126736121,0.7776760939156039,0.780514929763002,0.7914984064951672,0.7814819769683224,0.786214917053578,0.7438965029710777
9,65-70c,65,70,15,PySR (Symbolic Regression),0.7404119035080611,0.7746816733900307,0.7666078614357698,0.7618470481384185,0.7575472322963382,0.8007128508876379,0.7960658106640054,0.7668680684005574,0.7719007638619604,0.7404119035080611
9,70-75c,70,75,14,PySR (Symbolic Regression),0.6463803120557197,0.6559786949107733,0.6527391882280138,0.651125289904799,0.6778050605360629,0.6502822973027176,0.6737286574239025,0.6986114930955925,0.6680370738745046,0.6463803120557197
9,75-80c,75,80,21,Machine Learning (Logistic Regression),0.5351635807994196,0.5378664677284762,0.5393744332377819,0.5409236619119533,0.5474883070871913,0.5351635807994196,0.5473261518540121,0.5569781658864915,0.5441865738589454,0.5462222955941098
9,80-85c,80,85,14,PySR (Symbolic Regression),0.6698189171423424,0.7200205562559141,0.7002316735469609,0.6901352380476266,0.7115734230931782,0.7424008717115395,0.7026677745777269,0.7104577029786553,0.7031641205530132,0.6698189171423424
9,85-90c,85,90,18,Machine Learning (Logistic Regression),0.3406689237214884,0.34069897718634834,0.34855057603653933,0.35507141114328916,0.3420062270449776,0.3406689237214884,0.3553779846845925,0.3431891984931402,0.3486061958334675,0.3526379215344605
9,90-95c,90,95,12,Student-T df=3,0.6035000937954577,0.6698255670508964,0.6230629347396653,0.6035000937954577,0.683062557671002,0.6804288136694354,0.6518729475335369,0.665510894219145,0.6690990124664323,0.6303600296712827
9,95-100c,95,100,5,PySR (Symbolic Regression),0.01005033585350145,0.03669815106855343,0.06798056641173271,0.08838901550858679,0.032574293628006304,0.03958630106253362,0.044451422614160574,0.041046373143485956,0.05832652433793474,0.01005033585350145
8,0-5c,0,5,1,PySR (Symbolic Regression),0.01005033585350145,0.020202706861361452,0.048763591988306695,0.0684324667964762,0.020202706861361452,0.023783657470682264,0.011595977489792903,0.022026396242944103,0.03347869862559819,0.01005033585350145
8,5-10c,5,10,16,Student-T df=3,0.3719006789075746,0.3843408465258931,0.37314132516958726,0.3719006789075746,0.40279601348706645,0.3886572439485577,0.39327974776925206,0.3852504900864431,0.40572131299652997,0.3720463741332587
8,10-15c,10,15,13,XGBoost,0.08496364296527242,0.12619433130140698,0.15677140979502383,0.17565811856420427,0.12631223613269554,0.10938106689111625,0.08496364296527242,0.09261279009219579,0.08846387437286032,0.1748396378031771
8,15-20c,15,20,20,Momentum-Adjusted Gaussian,0.39723383050736444,0.40957442587785076,0.4160271082836494,0.42107698730015136,0.39723383050736444,0.41445442800684845,0.41479602149737316,0.4204777609122419,0.4006152615400732,0.42609283815500376
8,20-25c,20,25,11,Machine Learning (Logistic Regression),0.46544902564213453,0.4727493354029608,0.4780255060139187,0.4819264929875924,0.48754646383140093,0.46544902564213453,0.4989935169936785,0.5083984939434227,0.4801288925988014,0.49426661996792465
8,25-30c,25,30,14,Machine Learning (Logistic Regression),0.44432733637756633,0.4608457117984511,0.4693653041920484,0.4749545844179021,0.4670192073000968,0.44432733637756633,0.49561369460592264,0.514419918335047,0.48711728146389316,0.49999617547643505
8,30-35c,30,35,8,LightGBM,0.6452892054212999,0.660951285417992,0.6593599574140758,0.6585902738016799,0.6506446146726355,0.668648329221913,0.655013744921878,0.6452892054212999,0.6505617864237725,0.6565276176910315
8,35-40c,35,40,22,Machine Learning (Logistic Regression),0.6064961270938951,0.6109323468824203,0.6136064510624455,0.6153592300610234,0.6073426252315168,0.6064961270938951,0.6250361382271193,0.6434041171354371,0.6201088247695243,0.6268780663809351
8,40-45c,40,45,21,XGBoost,0.6238146716114313,0.6307703294264452,0.6332993714582938,0.63490577504248,0.6268583198018637,0.6321975521368193,0.6238146716114313,0.6357796940202238,0.6356284194401167,0.6456009125724466
8,45-50c,45,50,6,Momentum-Adjusted Gaussian,0.6817600037660406,0.6876707733014715,0.6878830402771104,0.6880181713808238,0.6817600037660406,0.6885411173119257,0.7056242049555274,0.7263000619561731,0.6944960828763628,0.6889425630298455
8,50-55c,50,55,10,Momentum-Adjusted Gaussian,0.6747397747128554,0.686465879437924,0.6867288975752611,0.6868960433694515,0.6747397747128554,0.6903331317999722,0.6796325209139684,0.6785317916571998,0.6883229907238069,0.6878433653265534
8,55-60c,55,60,11,Momentum-Adjusted Gaussian,0.6422491105858215,0.6603622544764913,0.6615691648888256,0.6623432742341051,0.6422491105858215,0.6651075315532319,0.6483756870891647,0.6671265058497842,0.6502089375990605,0.6675217565534097
8,60-65c,60,65,14,PySR (Symbolic Regression),0.7184186541649419,0.7361368904670965,0.7321873146722538,0.729833218926533,0.7384201694717909,0.7420866739235771,0.7705400466830525,0.7785454499258675,0.7514547566995546,0.7184186541649419
8,65-70c,65,70,13,LightGBM,0.6042764175418383,0.6246574242713786,0.6252083296121043,0.6257504138223899,0.6196771504930313,0.6264611159783867,0.6175491317425278,0.6042764175418383,0.6095644788773802,0.6312544023225021
8,70-75c,70,75,15,Machine Learning (Logistic Regression),0.37390129405940115,0.3953272017858513,0.4087146271116854,0.41719262257979434,0.40297366373958404,0.37390129405940115,0.4074704859059658,0.39204048994430757,0.4062938956512152,0.453954738924978
8,75-80c,75,80,13,Momentum-Adjusted Gaussian,0.44221857673736054,0.4511901215284281,0.45830892661836437,0.46327822156376663,0.44221857673736054,0.4494637034789354,0.4580764387337001,0.44936638495876335,0.4477538680213637,0.4814335477169419
8,80-85c,80,85,8,Machine Learning (Logistic Regression),0.18152818967109371,0.20157470401188154,0.227302816685506,0.24326987241837883,0.20179791825178203,0.18152818967109371,0.19535200127220237,0.21083894793173374,0.20864166647870797,0.2739503027105301
8,85-90c,85,90,18,Momentum-Adjusted Gaussian,0.4404709649767697,0.46095230255868536,0.4552492415685678,0.4545603604366452,0.4404709649767697,0.46817568820835287,0.4683279287263155,0.4679653998891141,0.4524780532114424,0.4575621149961184
8,90-95c,90,95,15,Student-T df=3,0.5305095606546274,0.5880413261596711,0.5463265317458871,0.5305095606546274,0.5867046209418548,0.594734626421044,0.5733354562769901,0.5591151803262501,0.5759974162604578,0.5876115480479956
8,95-100c,95,100,6,PySR (Symbolic Regression),0.013051975732943671,0.03223984258278419,0.06277014759710252,0.08297310080805455,0.035856949568061444,0.0353326102323251,0.033504288174871645,0.04540685662836768,0.05183933368244129,0.013051975732943671
7,0-5c,0,5,10,PySR (Symbolic Regression),0.010050335853501452,0.03255302152521234,0.06335211787540986,0.08364590665237173,0.028471247337229118,0.0340235551962523,0.02039767419350724,0.027481841361754418,0.03478832354948067,0.010050335853501452
7,5-10c,5,10,14,XGBoost,0.04398119365538318,0.0704023999167599,0.10298557154797706,0.12339400735704571,0.06592298637821357,0.06435951666971684,0.04398119365538318,0.05615109755346515,0.04873705607348355,0.07240696109497612
7,10-15c,10,15,13,XGBoost,0.0769355584768732,0.1253445587114249,0.15596026663754378,0.1748730637854021,0.13424842296822925,0.10615632734643092,0.0769355584768732,0.0819471937638625,0.0873170420615282,0.1733610775103263
7,15-20c,15,20,15,Machine Learning (Logistic Regression),0.2749108409166476,0.29054771190971246,0.3075319764932088,0.3186006220061516,0.2938368419356481,0.2749108409166476,0.27860588228897215,0.2818072014841363,0.28058516638652364,0.3364813856282919
7,20-25c,20,25,5,LightGBM,0.4530991386724086,0.4817760909333136,0.4873136869343096,0.4912621355703838,0.48683965243465127,0.47711324957832923,0.4542327516279901,0.4530991386724086,0.46119985187983037,0.5009226142975137
7,25-30c,25,30,15,CatBoost,0.6305965300437367,0.6400296978356735,0.636811321450678,0.6352999303444081,0.6442504797036613,0.6467765128094453,0.6322211054715906,0.6411266302322445,0.6305965300437367,0.6317795467296251
7,30-35c,30,35,15,Machine Learning (Logistic Regression),0.4580992771063706,0.4783273053228683,0.4875816159763397,0.49345658422900923,0.47662507129705456,0.4580992771063706,0.5132639161405154,0.4983048699120831,0.4981331694836978,0.5231054269371336
7,35-40c,35,40,14,Momentum-Adjusted Gaussian,0.6838653385501557,0.6902031510041887,0.6886699808941794,0.6878158429040393,0.6838653385501557,0.6983101517371857,0.6912208975334948,0.6930537784392413,0.6856974935149655,0.6843952737493615
7,40-45c,40,45,23,LightGBM,0.7009940128709573,0.7176404959320064,0.7156676705467031,0.7144803853804162,0.7239170047392566,0.7158476600631315,0.7081432486564572,0.7009940128709573,0.7103920850339074,0.7077855026296089
7,45-50c,45,50,9,LightGBM,0.6799967955029363,0.6973774277500956,0.6970733837401509,0.6968889154113512,0.693567070325912,0.6990344257642345,0.6904419697077687,0.6799967955029363,0.6876344389668151,0.6958410228307077
7,50-55c,50,55,11,CatBoost,0.6949497644526428,0.7083557612050592,0.7075863311162512,0.7071082987200721,0.7014605725445459,0.7134109283075287,0.7056898025249442,0.6987951501804973,0.6949497644526428,0.7041409956104068
7,55-60c,55,60,15,PySR (Symbolic Regression),0.7346207358088236,0.7531210318852557,0.7496126660353606,0.7474564507340614,0.7446549008183102,0.7659942626595683,0.7506730845535491,0.7466424612395144,0.7505886587576164,0.7346207358088236
