tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
10,+7c,7,8,1,CatBoost,0.5578844000191139,0.7339691353437714,0.7319483958747273,0.7306907334146528,0.7765287470630817,0.7200718078179046,0.6110601256251262,0.5918186006282904,0.5578844000191139,0.7229996813221861
10,+12c,12,13,1,CatBoost,0.4690258238559889,0.6733445719632621,0.6742957497805424,0.6748891826104149,0.7133499064278901,0.637181797640529,0.5301464606085909,0.5943022244821526,0.4690258238559889,0.6794798428212977
10,+29c,29,30,1,CatBoost,0.16207089708970296,0.4942962983637726,0.5035069551014978,0.5092848894445405,0.5276327170787288,0.38979723440938696,0.3962102045045574,0.5213710473019751,0.16207089708970296,0.5450002410450809
9,-11c,-11,-10,1,PySR (Symbolic Regression),0.01005033585350145,0.040821993588932556,0.07278479440540088,0.09337813725187137,0.020202706861361452,0.05355504817900938,0.15138678110480128,0.0455070968661409,0.1474337365689889,0.01005033585350145
9,-8c,-8,-7,2,Momentum-Adjusted Gaussian,0.1234620466764452,0.14638081542384357,0.17545377195716333,0.19347089045084506,0.1234620466764452,0.15461494190309116,0.1624957970163209,0.14169452744821717,0.1713676182595818,0.19706672383027352
9,-6c,-6,-5,1,XGBoost,0.14386103097986408,0.21072102837221335,0.23583429295195407,0.25143409112378806,0.18632957585757665,0.21390753988678338,0.14386103097986408,0.17719315196020904,0.17247030804918953,0.2855340442158155
9,-5c,-5,-4,2,Machine Learning (Logistic Regression),0.20472616241750513,0.22392544065881484,0.24825157657232752,0.26336204455925233,0.24944855496797147,0.20472616241750513,0.27416345351334287,0.23644301169172596,0.25365553216945547,0.27916685103437455
9,-4c,-4,-3,1,Standard Gaussian,0.08338159079850715,0.08338159079850715,0.11596133316245656,0.13619055399996255,0.10536049661745385,0.08799715428779036,0.14241373732863108,0.13768265045941622,0.10660396186565047,0.10145632060978334
9,-3c,-3,-2,4,XGBoost,0.6299191443634373,0.7084658895571652,0.6977937974789614,0.6922384852552329,0.6619952814837498,0.7431553182213286,0.6299191443634373,0.6501987776023817,0.6476583843579682,0.6566916094262801
9,-2c,-2,-1,18,LightGBM,0.48649039183470333,0.509063283291206,0.5158959530672624,0.5203801773709555,0.5164170697325432,0.5002963454444358,0.4928624250465589,0.48649039183470333,0.5001706592780745,0.5219357832908531
