Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
81,8,81-8,f1,12.4666662,81-17,81-18,81-18,1.74843049,49.3420181,
81,9,81-9,f1,2.6833334,81-19,81-20,81-20,2.09621048,159.343689,
81,10,81-10,f0,-1.08031929,81-21,81-22,81-22,4.41640854,1058.7395,
81,11,81-11,f1,4.7833333,81-23,81-24,81-24,8.12794209,4588.96338,
81,12,81-12,f1,9.61666679,81-25,81-26,81-26,10.7002831,3685.55029,
81,13,81-13,f1,11.2333336,81-27,81-28,81-28,5.40408325,633.167542,
81,14,81-14,f3,0.0199999996,81-29,81-30,81-30,3.82203674,182.124496,
81,15,81-15,Leaf,,,,,-0.0268309154,247.550934,
81,16,81-16,Leaf,,,,,-0.0186932962,175.616135,
81,17,81-17,Leaf,,,,,-0.0090077538,44.0171967,
81,18,81-18,Leaf,,,,,0.00809512846,5.32482052,
81,19,81-19,Leaf,,,,,-0.0104282917,124.407913,
81,20,81-20,Leaf,,,,,-0.018973507,34.9357758,
81,21,81-21,Leaf,,,,,-0.0108864391,209.009888,
81,22,81-22,Leaf,,,,,-0.00599898677,849.729675,
81,23,81-23,Leaf,,,,,-0.0047757756,568.898438,
81,24,81-24,Leaf,,,,,-0.000947049761,4020.0647,
81,25,81-25,Leaf,,,,,0.00473129144,1836.24097,
81,26,81-26,Leaf,,,,,0.00149758661,1849.3092,
81,27,81-27,Leaf,,,,,0.0134999305,597.849792,
81,28,81-28,Leaf,,,,,0.0013821969,35.3177032,
81,29,81-29,Leaf,,,,,0.027501693,170.619736,
81,30,81-30,Leaf,,,,,0.0086749699,11.5047607,
82,0,82-0,f2,-0.270000011,82-1,82-2,82-2,8.14817142,10746.873,
82,1,82-1,Leaf,,,,,0.0313355997,6.53412247,
82,2,82-2,f3,0.230000004,82-3,82-4,82-4,12.3992386,10740.3389,
82,3,82-3,f2,0.0399999991,82-5,82-6,82-6,4.07272577,10727.3662,
82,4,82-4,f5,0.25,82-7,82-8,82-8,2.72356796,12.9722509,
82,5,82-5,f1,9.66666698,82-9,82-10,82-10,3.66558957,10493.3447,
82,6,82-6,f1,14.5333338,82-11,82-12,82-12,5.02662516,234.021576,
82,7,82-7,Leaf,,,,,-0.0142599773,7.9457159,
82,8,82-8,Leaf,,,,,-0.0440194942,5.02653503,
82,9,82-9,Leaf,,,,,0.000784627162,5498.16162,
82,10,82-10,Leaf,,,,,-0.000337981066,4995.18311,
82,11,82-11,Leaf,,,,,-0.00518009067,211.669266,
82,12,82-12,Leaf,,,,,0.00950533524,22.3523197,
83,0,83-0,f0,-0.738846838,83-1,83-2,83-2,276.505371,10788.7725,
83,1,83-1,f0,-1.47579098,83-3,83-4,83-4,59.9198151,1391.85339,
83,2,83-2,f0,1.08031929,83-5,83-6,83-6,207.076721,9396.91895,
83,3,83-3,f1,9.83333302,83-7,83-8,83-8,9.65185547,306.126495,
83,4,83-4,f0,-1.08031929,83-9,83-10,83-10,9.46215057,1085.72693,
83,5,83-5,f0,0.150969222,83-11,83-12,83-12,45.3864555,8581.82812,
83,6,83-6,f0,1.75068605,83-13,83-14,83-14,26.7908173,815.091125,
83,7,83-7,f0,-1.64485359,83-15,83-16,83-16,2.96008301,292.817444,
83,8,83-8,f1,10.5500002,83-17,83-18,83-18,5.78647232,13.3090401,
83,9,83-9,f2,-0.0299999993,83-19,83-20,83-20,5.44335938,421.450226,
83,10,83-10,f1,12.8500004,83-21,83-22,83-22,5.088974,664.276672,
83,11,83-11,f0,-0.253347099,83-23,83-24,83-24,8.70537281,5097.57324,
83,12,83-12,f0,0.612812996,83-25,83-26,83-26,13.0040398,3484.25513,
83,13,83-13,f1,11.2333336,83-27,83-28,83-28,5.46157074,589.190674,
83,14,83-14,f1,9.44999981,83-29,83-30,83-30,4.32341003,225.900467,
83,15,83-15,Leaf,,,,,-0.0274547338,209.012894,
83,16,83-16,Leaf,,,,,-0.0200551879,83.8045502,
83,17,83-17,Leaf,,,,,0.0228354894,5.24544191,
83,18,83-18,Leaf,,,,,-0.0146952514,8.06359768,
83,19,83-19,Leaf,,,,,0.00724914903,11.2981272,
83,20,83-20,Leaf,,,,,-0.0133396704,410.1521,
83,21,83-21,Leaf,,,,,-0.00639201747,632.494324,
83,22,83-22,Leaf,,,,,-0.0185785778,31.7823563,
83,23,83-23,Leaf,,,,,-0.00291723944,2082.65332,
83,24,83-24,Leaf,,,,,-0.000395411276,3014.91992,
83,25,83-25,Leaf,,,,,0.00176320854,2376.2959,
83,26,83-26,Leaf,,,,,0.00569879264,1107.95911,
83,27,83-27,Leaf,,,,,0.0134892231,556.06134,
83,28,83-28,Leaf,,,,,0.000922547886,33.1292839,
83,29,83-29,Leaf,,,,,0.0256050546,220.858459,
83,30,83-30,Leaf,,,,,-0.0020927228,5.04201078,
84,0,84-0,f0,-0.738846838,84-1,84-2,84-2,271.349609,10732.4697,
84,1,84-1,f0,-1.55477357,84-3,84-4,84-4,57.4626465,1377.77222,
84,2,84-2,f0,1.22652817,84-5,84-6,84-6,177.744003,9354.69727,
84,3,84-3,f1,9.83333302,84-7,84-8,84-8,5.77110291,249.197388,
84,4,84-4,f0,-1.2815516,84-9,84-10,84-10,8.73025513,1128.57483,
84,5,84-5,f0,0.227544978,84-11,84-12,84-12,55.5396385,8743.6416,
84,6,84-6,f0,1.88079357,84-13,84-14,84-14,20.0195007,611.055908,
84,7,84-7,f0,-2.05374885,84-15,84-16,84-16,1.5816803,240.238907,
84,8,84-8,Leaf,,,,,-0.00159849843,8.95848942,
84,9,84-9,f1,8.46666622,84-17,84-18,84-18,5.43340683,208.531158,
84,10,84-10,f2,-0.0399999991,84-19,84-20,84-20,5.05451202,920.04364,
84,11,84-11,f0,-0.176374167,84-21,84-22,84-22,15.075388,5553.56885,
84,12,84-12,f1,12.8500004,84-23,84-24,84-24,16.2790146,3190.07251,
